ID,question,answer,category,type,points
1,Was gilt als Farbe des Feuers und des Blutes?,Rot,Allgemeinwissen,Schnellfrage,100
2,"Wovor warnt in nordamerikanischen Wäldern der Ruf ""Timber""?","(Fallender) Baum, Kippender Baum",Allgemeinwissen,Schnellfrage,100
3,Wer folgte 1991 auf Michail Gorbatschow als Staatsoberhaupt des russischen Staats?,"Jelzin, Boris Nikolajewitsch Jelzin",Geschichte,Frage,200
4,"""Complicated"" hieß in den 2000ern ein Superhit der kanadischen Sängerin Avril ...?",Lavigne,Musik,Frage,200
5,In welcher beliebten TV-Serie cruist David Hasselhoff als Michael Knight durch die 80er?,Knight Rider,Filme,Frage,300
6,Wie nennt man das andere Ich auf Latein?,Alter Ego,Sprachen,Frage,300
7,Welches Metall trägt der Ameisenbär im Namen versteckt?,Eisen,Wörter,Schnellfrage,100
8,Beim Langlauf steht man auf welchen Sportgeräten?,"Ski, Skier",Sport,Schnellfrage,100
9,Auf welchem Kontinent leben die meisten Chamäleonarten?,Afrika,Tiere,Frage,300
10,"Wer spielt in ""Phantastische Tierwesen und wo sie zu finden sind"" den bösen Zauberer Gellert Grindelwald?",Johnny Depp,Hollywood,Frage,300
11,Welche Farbe kennzeichnet auf Landkarten einen Fluss?,Blau,Geographie,Schnellfrage,100
12,In welcher deutschen Millionenstadt bildet der Ortsteil Schmöckwitz den südlichsten Teil?,Berlin,Geographie,Frage,400
13,Welchen Kontinent durchfließen Rhein und Rhône?,Europa,Geographie,Frage,200
14,"Den Bestseller ""Bis(s) zur Mitternachtssonne"" schrieb die Twilight-Autorin Stephenie ...?",Meyer,Autoren,Frage,400
15,Welcher Stoß treibt eine Rakete an?,Rückstoß,Physik,,
16,"Mit wie vielen Buchstaben schreibt man im Kreuzworträtsel das Lösungswort ""Bär""?",4,Allgemeinwissen,,
17,"Was für ein Tier ist ""Kleiner Onkel"" in den Pippi-Langstrumpf-Filmen?","Pferd, (Apfel-)Schimmel",Filme,,
18,Welches Sinnesorgan kann am Grünen Star erkranken?,Auge(n),Biologie,,
19,"""Leu"" ist der dichterische Ausdruck für welche Raubkatze?",Löwe,Tiere,,
20,Was wird in Deutschland seit 1990 und nach Einführung des Grünen Punktes fleißig getrennt?,"Müll, Abfall, Kunststoff, Plastik, Verpackungsmüll",Allgemeinwissen,,
21,"""She's an easy lover"" singen im Duett Philip Bailey und Phil ...?",Collins,Musik,,
22,Welcher geometrische Körper heißt auf Latein Globus?,Kugel,Mathematik,,
23,"Kolumbus landete 1492 in Amerika, hielt es aber für Inseln östlich welches Landes?",Indien,Geschichte,,
24,Das olympische Logo besteht aus fünf runden ...?,"Ringen, Kreisen",Sport,Schnellfrage,100
25,Auf welchem Kontinent leben die Komodowarane?,Asien,Geographie,,
26,Malia und Sasha heißen die beiden Töchter welches Ex-Präsidenten der USA?,Barack Obama,Politik,,
27,Welche Farbe kennzeichnet auf Straßenkarten einen Wald?,Grün,Geographie,Schnellfrage,100
28,Durch was für ein Naturereignis stürzte das Weltwunder Koloss von Rhodos einst ein?,Erdbeben,Geographie,,
29,Welche deutsche Millionenstadt liegt nicht an einem schiffbaren Fluss?,München,Geographie,,
30,Welcher Ozean liegt zwischen den USA und Japan?,"Pazifik, Pazifischer Ozean, Großer Ozean, Stiller Ozean",Geographie,,
31,Mit welchem Bock lassen sich gewaltsam Türen öffnen?,Rammbock,Wörter,,
32,Welchen Musik-Star nennt man auch kurz J.Lo?,Jennifer Lopez,Musik,,
33,Wie lautet das Ortskürzel auf den Kfz-Kennzeichen von Potsdam?,P,Straßenverkehr,Schnellfrage,100
34,"""Marcha Real"" heißt die Nationalhymne welches europäischen Landes?",Spanien,Kultur,,
35,"Welches ist das kleinste Land, das an den Rhein grenzt?",Liechtenstein,Geographie,,
36,Wer wurde im Januar 2022 zum CDU-Parteivorsitzenden gewählt?,Friedrich Merz,Politik,,
38,Welcher Moderator wurde im Juli 1956 in Münster geboren und stellt gern schlaue Fragen?,Günther Jauch,Personen,,
39,Welcher Schotte war 12 Jahre älter als Harrison Ford und spielte den Vater von Indiana Jones?,Sean Connery,Hollywood,,
40,"Den verfilmten Roman ""Needful Things - In einer kleinen Stadt"" schrieb welcher Horror-Autor?",Stephen King,Autoren,,
41,Welcher Italiener wurde 2022 Europas Fußballtrainer des Jahres?,Carlo Ancelotti,Sport,,
42,"Welcher in München geborene Expressionist malte das verschollene Gemälde ""Der Turm der blauen Pferde""?","Franz Marc, Franz Moritz Wilhelm Marc",Kunst,,
43,"Blueliner, Boxplay und Crosscheck sind Begriffe aus welchem Mannschaftssport?",Eishockey,Sport,,
44,Auf welchem Kontinent befinden sich die Victoriafälle?,Afrika,Geographie,,
45,"Bis heute kennt man Willy Brandts Spruch ""Jetzt wächst zusammen, was ""?",zusammengehört,Wörter,,
47,"Die erste muslimische Frau, die mit dem Friedensnobelpreis ausgezeichnet wurde, ist die Iranerin Shirin ...?",Ebadi,Personen,,
48,"Um welche Art von Instituten handelt es sich bei Uffizien, Prado und Louvre?","Museum, Galerie, Gemäldegalerie, (Kunst)sammlung",Geographie,,
49,Welche Sprache spricht man auf der Insel Öland?,Schwedisch,Sprachen,,
50,"In welcher Stadt liegt der Heimathafen des Segelschulschiffes ""Gorch Fock""?",Kiel,Geographie,,
52,Ein Venezianer wohnt in welcher Stadt?,Venedig,Geographie,Schnellfrage,100
53,"Was ist das Prädikat im Satz ""Der Kandidat sagt 'weiter'""?",Sagt,Wörter,,
55,Sydney Chaplin war der Halbbruder welches Schauspielers?,"Charlie Chaplin, Charles Chaplin",Hollywood,,
56,Wie lautet das Ortskürzel auf den Kfz-Kennzeichen von Wuppertal?,W,Straßenverkehr,Schnellfrage,100
57,Geusenlied wird die Nationalhymne welches Nachbarlandes genannt?,Niederlande,Geographie,,
58,Die wenigsten Städte gibt es in welchem Flächenbundesland?,Saarland,Deutschland,,
59,Wer gewann Ende April 2022 die französische Präsidentschaftswahl?,Emmanuel Macron,Politik,,
60,"Welcher deutsche Zug war 1988 mit 406,9 km/h der schnellste Zug der Welt?","ICE, InterCityExperimental",Straßenverkehr,Frage,300
61,"Im April 1942 in Linz wurde welcher frühere ""Wetten, dass..?""-Moderator geboren?",Frank Elstner,Technik,,
62,"Im Film ""Men in Black"" spielte welcher Schauspieler den Partner von Tommy Lee Jones?",Will Smith,Hollywood,,
63,Atréju und Bastian heißen zwei Hauptfiguren in welchem Buch von Michael Ende?,Die unendliche Geschichte,Autoren,,
64,Welcher Däne gewann die Tour de France 2022?,Jonas Vingegaard,Sport,,
66,"Maul, Gasse und Gedränge sind Begriffe aus welchem britischen Mannschaftssport?",Rugby,Sport,,
67,Auf welchem Kontinent befinden sich die Niagarafälle?,"Nordamerika, Amerika",Geographie,,
68,"Sprechen junge Menschen vom FSJ, so meinen sie das Freiwillige Soziale ...?",Jahr,Allgemeinwissen,Schnellfrage,100
69,Wie hieß ab 395 nach Christus die Hauptstadt des Oströmischen Reiches?,"Konstantinopel, Byzanz",Geschichte,,
70,Mit dem Friedensnobelpreis geehrt wurden 1998 die Nordiren John Hume und David ...?,Trimble,Personen,,
71,"Wie nennt man die Fassung, in der man Kunstwerke an die Wand hängt?","Bilderrahmen, Rahmen, Bildhalter",Allgemeinwissen,,
72,Welche Sprache spricht man auf der Insel Rømø?,Dänisch,Sprachen,,
73,"Im Hafen welcher Ostsee-Stadt wurde 2021 das Flüchtlingsschiff ""Sea-Eye 4"" getauft?",Rostock,Deutschland,,
74,Wie wird in der Musik die Klangfarbe einer Singstimme genannt?,Timbre,Musik,,
75,Der Bezirk Altona liegt in welcher Stadt?,Hamburg,Deutschland,,
76,"Was ist das Subjekt im Satz ""Kandidat antwortet richtig""?",Kandidat,Wörter,,
77,Welcher Zeichentrick-Hase ist häufig zusammen mit einer schwarzen Ente zu sehen?,Bugs Bunny,Filme,,
79,Welche rötliche Flüssigkeit transportieren die Arterien zu den Organen?,Blut,Biologie,,
80,Aus welchem Land kommt mit Usain Bolt einer der erfolgreichsten Sprinter überhaupt?,Jamaika,Sport,,
81,SO2 lautet die Summenformel für welche chemische Verbindung?,Schwefeldioxid,Chemie,,
83,"Welcher große Fluss in Süddeutschland reimt sich auf ""Gronau""?",Donau,Geographie,Schnellfrage,100
85,Wie nennt man das Schärfen von Klingenstahl durch Schleifen?,Wetzen,Allgemeinwissen,Frage,200
86,In welcher Disziplin wurde Hartwig Gauder 1980 DDR-Olympiasieger?,Gehen,Sport,Frage,400
